"id","station_code","station_name","latitude","longitude","level"
96,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/O4kX8ajY1Lp","Tokwana Clinic",NULL,NULL,4
97,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/ofDSu93XYEs","Matjinge Rural Health Centre",NULL,NULL,4
98,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/Orr1ircj1n9","Lady Stanley Mission Hospital",NULL,NULL,4
99,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/pAUXg8FfZlS","Hingwe Clinic",NULL,NULL,4
100,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/QPHAMe5GEWA","Makhuleka Clinic",NULL,NULL,4
101,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/r3OGNRrJ82z","Nswazwi Rural Health Centre",NULL,NULL,4
102,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/rkQa7RnEWDS","Huwana Clinic",NULL,NULL,4
103,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/sqWVRgo6BjX","Malalume RHC",NULL,NULL,4
104,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/twOU9Qka6Hm","Masendu Clinic",NULL,NULL,4
105,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/txZAALJZy6S","Temateme Clinic",NULL,NULL,4
106,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/XdWdQRJn9Py","Lady Barring Mission Hospital",NULL,NULL,4
107,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/y98J2AtbZsT","Mbimba Clinic",NULL,NULL,4
108,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG","Matobo",NULL,NULL,3
109,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/B5YF4fUJEVU","Bazha Clinic",NULL,NULL,4
110,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/BT9ERqzG21A","Natisa Rural Health Centre",NULL,NULL,4
111,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/f3mLKel2gIx","Matobo Rural Rural Hospital",NULL,NULL,4
